GRN No.,Invoice No,DCNo,"Received 
Date",Item Code,Item Name,HSN Code,Batch No,"Expiry
Date",Manuf. Date,"Purchase 
UOM",Qty.,MRP,MRP I/E,Free Item,Vendor,GSTIN,"GRN 
Status",Store Name,"GST 
UOM"
SE/PH/GRN/26/6683,SB-26-57264,,19/09/2026,BIC001,Bifilac Cap,30029030,139358^ALA26N01,31/05/2028,01/06/2026,Capsule,2000.0,14.9,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6684,SB-26-57275,,19/09/2026,LZD025,Lonazep MD 0.25mg Tab,30049082,132433^GTH0945A,28/02/2028,01/03/2026,Tablet,1200.0,2.147,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6684,SB-26-57275,,19/09/2026,OXC060,Oxetol Suspension 60ml,30049082,141540^SXH1561A,31/07/2028,01/08/2026,Bottle,30.0,236.0,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6684,SB-26-57275,,19/09/2026,TZN002,Tizan 2mg Tab,30049099,122007^GTH0450A,31/01/2029,01/02/2026,Tablet,120.0,20.3,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6685,SB-26-57513,,19/09/2026,BVTS400,Bevatas 400mg Inj,30021500,129542^24030120,28/02/2029,01/03/2026,Vial,8.0,62690.1,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6686,SB-26-57861,,19/09/2026,ACBN20,Aciban 20mg Tab,30049039,141829^JKAB25002,30/11/2028,01/12/2025,Tablet,1000.0,4.547,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6687,MD/26-27/29574,,19/09/2026,CNS555,Canshield 50mg Inj,30049029,141842^PCOBD0126,28/02/2029,01/06/2026,Vial,2.0,18700.0,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6687,MD/26-27/29574,,19/09/2026,FOS40,Fosfofast 4000mg Injection,30049099,138775^BI260203A,31/05/2028,01/06/2026,Vial,20.0,7939.8,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6687,MD/26-27/29574,,19/09/2026,INNO500,Innomer 500mg Inj,30049099,141305^CMPCF0926,31/05/2028,01/06/2026,Vial,200.0,776.0,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6687,MD/26-27/29574,,19/09/2026,XVT025,Xavitaz 2.5gm Inj,30042099,141304^CCDAX0426,30/06/2028,01/07/2026,Vial,80.0,7299.6,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6688,SB-26-57166,,19/09/2026,BPN 150,Bupron SR 150mg Tab,30049099,141828^SIH1190A,30/06/2028,01/07/2026,(1.00 x Tablet),200.0,19.3,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6688,SB-26-57166,,19/09/2026,DRNS20,Dronis 20 Tab ( 24's),30066020,141827^GKH1087A,30/11/2028,01/06/2026,Strips,6.0,438.0,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6688,SB-26-57166,,19/09/2026,KID5ML,Kidtro Eye Drops 5Ml,30049099,134196^GTH1234A,30/09/2027,01/04/2026,(1.00 x Bottle),10.0,300.0,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6688,SB-26-57166,,19/09/2026,LZD025,Lonazep MD 0.25mg Tab,30049082,132433^GTH0945A,28/02/2028,01/03/2026,Tablet,1500.0,2.147,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6688,SB-26-57166,,19/09/2026,NFT100,Niftran 100mg Cap (10),30049099,141058^JED0016,30/06/2028,01/07/2026,Bottle,75.0,92.88,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6688,SB-26-57166,,19/09/2026,SYN0125,Syndopa CR 125mg Tab,30049099,141116^GKH1128A,30/06/2028,01/07/2026,Tablet,400.0,2.998,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6689,MD/26-27/29921,,19/09/2026,ACSF20,Ancool Suspension 200ml (Sugar free),30049039,141177^Z06AK26004,30/06/2028,01/07/2026,Bottle,100.0,204.25,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6689,MD/26-27/29921,,19/09/2026,VIT600,Vitanova-D3 6L Inj,30045036,141835^ZPN3AA6004,30/04/2028,01/05/2026,Nos,90.0,65.6,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6690,DEL-26-40441,,19/09/2026,TBM300,Tobamist Respules,30049087,141577^6GA0082,28/02/2028,01/03/2026,Respules,80.0,645.71,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6691,MD/26-27/29571,,19/09/2026,ACSF20,Ancool Suspension 200ml (Sugar free),30049039,141177^Z06AK26004,30/06/2028,01/07/2026,Bottle,20.0,204.25,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6691,MD/26-27/29571,,19/09/2026,MXLV500,Maxiliv 500mg Tab,21069099,139915^ZPF2AC6005,31/05/2028,01/06/2026,Tablet,220.0,140.9,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6691,MD/26-27/29571,,19/09/2026,MYTP0150,Myotop 150mg tablet,30049069,141843^Z05BJ26006,31/10/2028,01/05/2026,Tablet,200.0,19.485,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6691,MD/26-27/29571,,19/09/2026,MYTP0150,Myotop 150mg tablet,30049069,126899^Z05BJ26002,31/08/2028,01/03/2026,Tablet,400.0,19.485,I,No,R.K Pharma,07AAIFR7148G1ZY,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6692,DEL-26-40403,,19/09/2026,UMX200,Urimax 200mcg Cap,30049099,141840^5BB0196,31/01/2028,01/08/2025,(1.00 x Capsules),105.0,12.868,I,No,Novacare Healthcare Solutions Private Limited(DELHI),07AAGCN0847B1ZS,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6694,A002616,,19/09/2026,ALXLZ,Alex Lozenges,30049099,132702^73260013,30/04/2029,01/05/2026,Tablet,200.0,13.218,I,No,PHARMAGIX,06ABBFP4852H1Z8,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6694,A002616,,19/09/2026,CTR100,Ca Atra 10mg Capsules (100's),30049099,116171^P508006A,30/11/2027,01/12/2025,Bottle,4.0,8156.0,I,No,PHARMAGIX,06ABBFP4852H1Z8,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6694,A002616,,19/09/2026,EPT025,Eptus 25mg Tab,30049079,141848^18260494,30/06/2029,01/07/2026,Tablet,450.0,45.0,I,No,PHARMAGIX,06ABBFP4852H1Z8,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6694,A002616,,19/09/2026,GLV750,Glevo 750mg Tab,30042039 ,141227^TB-052651,30/04/2028,01/05/2026,Tablet,230.0,13.375,I,No,PHARMAGIX,06ABBFP4852H1Z8,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6694,A002616,,19/09/2026,SACU50,Sacu-v 50 Tab,30049099,140631^SCA04F26,31/05/2028,01/06/2026,Tablet,560.0,23.3571,I,No,PHARMAGIX,06ABBFP4852H1Z8,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6694,A002616,,19/09/2026,STZM1000,Sitazit M 50/1000 Tab,30049099,137409^18260416,31/05/2028,01/06/2026,Tablet,500.0,16.266,I,No,PHARMAGIX,06ABBFP4852H1Z8,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6695,SB-26-57158,,19/09/2026,BRVP10,Brevipil 10mg/ml Inj 5ml,30049082,138518^GTH0701B,31/01/2028,01/02/2026,Vial,180.0,176.0,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
SE/PH/GRN/26/6695,SB-26-57158,,19/09/2026,DRE500,Dicorate ER 500mg Tab,30049081,141120^GKH0902A,31/05/2028,01/06/2026,(1.00 x Tablet),700.0,22.5,I,No,MODEL ENTERPRISES PRIVATE LIMITED,07AAACM8063E1ZL,Closed,PS/MN/20B/00 (PH MAIN STORE),
